person_id,age,gender,income,member_days,offer_received,offer_viewed,offer_completed,completed_viewed,total_trans,total_amount,total_mean_amount,np_trans,np_amount,np_mean_amount,prop_np_trans,prop_np_amount
p_1,,,,-529,5.0,5.0,2.0,2.0,9.0,20.4,2.2666666666666666,0,0.0,0.0,0.0,0.0
p_10,,,,-611,4.0,3.0,1.0,0.0,6.0,15.620000000000001,2.6033333333333335,3,7.69,2.5633333333333335,0.5,0.49231754161331626
p_100,68.0,F,84000.0,-725,5.0,0.0,1.0,0.0,2.0,34.04,17.02,2,34.04,17.02,1.0,1.0
p_1000,67.0,M,44000.0,-225,4.0,4.0,0.0,0.0,5.0,19.78,3.9560000000000004,2,13.370000000000001,6.6850000000000005,0.4,0.6759352881698686
p_10000,,,,-446,3.0,3.0,0.0,0.0,6.0,7.279999999999999,1.2133333333333332,1,1.83,1.83,0.16666666666666666,0.2513736263736264
p_10001,56.0,F,71000.0,-716,5.0,5.0,4.0,4.0,17.0,289.2,17.011764705882353,13,228.09999999999997,17.546153846153842,0.7647058823529411,0.7887275242047025
p_10002,69.0,M,62000.0,-977,2.0,0.0,1.0,0.0,8.0,139.84,17.48,8,139.84,17.48,1.0,1.0
p_10003,66.0,F,74000.0,-72,3.0,2.0,2.0,2.0,3.0,58.959999999999994,19.653333333333332,1,14.91,14.91,0.3333333333333333,0.25288331071913167
p_10004,64.0,M,53000.0,-54,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
p_10005,28.0,M,64000.0,-295,6.0,4.0,2.0,2.0,7.0,19.34,2.762857142857143,3,8.01,2.67,0.42857142857142855,0.4141675284384695
p_10006,37.0,M,66000.0,-711,6.0,4.0,3.0,2.0,16.0,65.42999999999999,4.0893749999999995,7,24.610000000000003,3.515714285714286,0.4375,0.37612715879565956
p_10007,58.0,M,82000.0,-502,5.0,3.0,4.0,2.0,11.0,259.62,23.60181818181818,9,201.41,22.378888888888888,0.8181818181818182,0.7757876897003312
p_10008,66.0,M,69000.0,-299,5.0,2.0,1.0,1.0,5.0,26.32,5.264,3,14.48,4.826666666666667,0.6,0.5501519756838906
p_10009,,,,-266,4.0,3.0,0.0,0.0,4.0,9.52,2.38,3,3.3899999999999997,1.13,0.75,0.35609243697478987
p_1001,52.0,F,71000.0,-161,5.0,2.0,2.0,1.0,4.0,85.62,21.405,3,70.41,23.47,0.75,0.8223545900490539
p_10010,55.0,F,104000.0,-300,5.0,4.0,5.0,3.0,12.0,331.21999999999997,27.601666666666663,5,140.07,28.014,0.4166666666666667,0.4228911297626955
p_10011,48.0,F,59000.0,-506,5.0,4.0,5.0,4.0,8.0,128.41,16.05125,4,60.64999999999999,15.162499999999998,0.5,0.4723152402460867
p_10012,32.0,F,69000.0,-136,5.0,5.0,5.0,5.0,13.0,209.06,16.08153846153846,9,144.66,16.073333333333334,0.6923076923076923,0.6919544628336363
p_10013,,,,-176,5.0,2.0,0.0,0.0,3.0,7.870000000000001,2.6233333333333335,2,5.300000000000001,2.6500000000000004,0.6666666666666666,0.673443456162643
p_10014,58.0,M,103000.0,-892,5.0,4.0,5.0,2.0,13.0,346.68999999999994,26.668461538461536,8,223.13,27.89125,0.6153846153846154,0.6436009114771122
p_10015,,,,-930,4.0,3.0,0.0,0.0,5.0,14.39,2.878,2,1.53,0.765,0.4,0.10632383599722028
p_10016,68.0,F,109000.0,-739,5.0,2.0,3.0,2.0,8.0,252.13,31.51625,6,207.16000000000003,34.52666666666667,0.75,0.821639630349423
p_10017,,,,-886,4.0,4.0,0.0,0.0,11.0,20.03,1.820909090909091,2,1.9400000000000002,0.9700000000000001,0.18181818181818182,0.09685471792311533
p_10018,,,,-215,6.0,3.0,0.0,0.0,10.0,17.030000000000005,1.7030000000000005,1,1.35,1.35,0.1,0.07927187316500292
p_10019,66.0,F,55000.0,-200,3.0,1.0,1.0,1.0,6.0,96.31,16.051666666666666,5,82.95,16.59,0.8333333333333334,0.861281279202575
p_1002,50.0,M,89000.0,-43,4.0,4.0,0.0,0.0,2.0,45.4,22.7,2,45.4,22.7,1.0,1.0
p_10020,30.0,M,67000.0,-1782,5.0,1.0,0.0,0.0,6.0,15.350000000000001,2.5583333333333336,5,13.56,2.712,0.8333333333333334,0.8833876221498371
p_10021,96.0,F,78000.0,-891,4.0,1.0,3.0,1.0,5.0,92.3,18.46,4,65.67,16.4175,0.8,0.7114842903575298
p_10022,62.0,M,69000.0,-392,6.0,6.0,4.0,4.0,13.0,206.17999999999998,15.859999999999998,8,132.12,16.515,0.6153846153846154,0.6407993015811427
p_10023,33.0,F,30000.0,-341,5.0,4.0,4.0,4.0,23.0,188.95000000000005,8.21521739130435,15,110.52,7.367999999999999,0.6521739130434783,0.5849166446149774
p_10024,60.0,M,65000.0,-1492,3.0,1.0,1.0,1.0,10.0,29.29,2.929,8,22.14,2.7675,0.8,0.7558893820416525
p_10025,,,,-718,5.0,3.0,0.0,0.0,7.0,15.750000000000002,2.2500000000000004,0,0.0,0.0,0.0,0.0
p_10026,56.0,F,46000.0,-189,3.0,3.0,1.0,1.0,8.0,24.130000000000003,3.0162500000000003,5,10.41,2.082,0.625,0.4314131786158309
p_10027,69.0,F,83000.0,-985,4.0,1.0,1.0,0.0,5.0,86.94,17.387999999999998,5,86.94,17.387999999999998,1.0,1.0
p_10028,56.0,M,70000.0,-862,4.0,1.0,3.0,1.0,7.0,103.96,14.85142857142857,6,84.32,14.053333333333333,0.8571428571428571,0.8110811850711812
p_10029,24.0,M,35000.0,-337,5.0,5.0,4.0,4.0,15.0,133.60999999999999,8.907333333333332,8,56.800000000000004,7.1000000000000005,0.5333333333333333,0.4251178803981739
p_1003,,,,-621,3.0,3.0,0.0,0.0,7.0,13.309999999999999,1.9014285714285712,5,11.379999999999999,2.276,0.7142857142857143,0.8549962434259955
p_10030,55.0,F,80000.0,-197,5.0,3.0,1.0,1.0,1.0,27.35,27.35,0,0.0,0.0,0.0,0.0
p_10031,61.0,F,77000.0,-822,3.0,2.0,2.0,2.0,4.0,82.61,20.6525,2,34.63,17.315,0.5,0.4191986442319332
p_10032,61.0,M,78000.0,-130,3.0,3.0,1.0,0.0,1.0,14.1,14.1,1,14.1,14.1,1.0,1.0
p_10033,58.0,F,87000.0,-246,5.0,3.0,1.0,0.0,8.0,185.64,23.205,6,133.06,22.176666666666666,0.75,0.7167636285283345
p_10034,41.0,M,44000.0,-60,6.0,6.0,3.0,2.0,8.0,86.52999999999999,10.816249999999998,3,25.28,8.426666666666668,0.375,0.2921530105165839
p_10035,,,,-335,4.0,4.0,3.0,3.0,11.0,43.15,3.9227272727272724,6,17.46,2.91,0.5454545454545454,0.40463499420625726
p_10036,27.0,M,59000.0,-1772,5.0,2.0,1.0,1.0,12.0,37.019999999999996,3.0849999999999995,7,27.47,3.924285714285714,0.5833333333333334,0.7420313344138304
p_10037,44.0,F,58000.0,-331,2.0,2.0,1.0,1.0,1.0,11.74,11.74,0,0.0,0.0,0.0,0.0
p_10038,65.0,F,96000.0,-54,4.0,2.0,1.0,1.0,1.0,36.73,36.73,0,0.0,0.0,0.0,0.0
p_10039,30.0,F,69000.0,-957,5.0,3.0,5.0,3.0,13.0,243.92000000000002,18.763076923076923,10,189.5,18.95,0.7692307692307693,0.7768940636274188
p_1004,,,,-196,4.0,3.0,2.0,1.0,3.0,158.38,52.79333333333333,1,11.32,11.32,0.3333333333333333,0.07147367091804521
p_10040,68.0,F,117000.0,-649,2.0,1.0,1.0,1.0,4.0,113.18999999999998,28.297499999999996,3,85.23,28.41,0.75,0.7529817121653858
p_10041,,,,-741,5.0,4.0,3.0,3.0,8.0,18.009999999999998,2.2512499999999998,3,6.07,2.0233333333333334,0.375,0.33703498056635206
p_10042,56.0,M,67000.0,-85,5.0,4.0,0.0,0.0,6.0,12.89,2.1483333333333334,1,2.71,2.71,0.16666666666666666,0.21024049650892163
p_10043,,,,-421,4.0,1.0,1.0,0.0,8.0,30.319999999999997,3.7899999999999996,6,27.16,4.526666666666666,0.75,0.8957783641160951
p_10044,53.0,M,32000.0,-157,4.0,4.0,2.0,2.0,11.0,75.67,6.879090909090909,8,46.67,5.83375,0.7272727272727273,0.6167569710585437
p_10045,,,,-514,2.0,2.0,0.0,0.0,7.0,15.59,2.2271428571428573,3,6.5600000000000005,2.186666666666667,0.42857142857142855,0.42078255291853756
p_10046,,,,-674,6.0,5.0,0.0,0.0,15.0,27.720000000000002,1.848,0,0.0,0.0,0.0,0.0
p_10047,33.0,M,42000.0,-1031,5.0,4.0,1.0,1.0,19.0,69.28,3.646315789473684,3,11.389999999999999,3.7966666666666664,0.15789473684210525,0.16440531177829099
p_10048,52.0,M,92000.0,-21,5.0,5.0,3.0,1.0,4.0,93.47,23.3675,2,54.849999999999994,27.424999999999997,0.5,0.58681930031026
p_10049,57.0,M,73000.0,-800,6.0,2.0,5.0,0.0,7.0,124.67999999999999,17.81142857142857,6,102.61999999999999,17.10333333333333,0.8571428571428571,0.8230670516522297
